age,interval,hcl,hcm,hcs,minus3sd,minus2sd,minus1sd,median,plus1sd,plus2sd,plus3sd,sex
2,2,0.9267,4.6878,0.16093,2.5,3.2,3.9,4.7,5.4,6.2,7,1
3,2,0.621,3.3714,0.15634,1.9,2.4,2.9,3.4,3.9,4.5,5.1,1
4,2,0.5607,2.517,0.16382,1.4,1.8,2.1,2.5,2.9,3.4,3.9,1
5,2,0.6219,2.0747,0.18097,1.1,1.4,1.7,2.1,2.5,2.9,3.3,1
6,2,0.7141,1.7184,0.207,0.8,1.1,1.4,1.7,2.1,2.5,2.9,1
7,2,0.7879,1.4381,0.23798,0.5,0.8,1.1,1.4,1.8,2.2,2.5,1
8,2,0.8482,1.2009,0.27392,0.3,0.6,0.9,1.2,1.5,1.9,2.2,1
9,2,0.8985,1.0106,0.31173,0.1,0.4,0.7,1,1.3,1.7,2,1
10,2,0.9379,0.8731,0.35212,0,0.3,0.6,0.9,1.2,1.5,1.8,1
11,2,0.9577,0.7615,0.39591,0,0.2,0.5,0.8,1.1,1.4,1.7,1
12,2,0.9598,0.6659,0.44007,0,0.1,0.4,0.7,1,1.3,1.6,1
2,2,0.8807,4.3539,0.15953,2.3,3,3.7,4.4,5.1,5.8,6.5,2
3,2,0.8807,3.1035,0.16706,1.6,2.1,2.6,3.1,3.6,4.2,4.7,2
4,2,0.8807,2.3473,0.18107,1.1,1.5,1.9,2.3,2.8,3.2,3.7,2
5,2,0.8807,1.9599,0.20017,0.8,1.2,1.6,2,2.4,2.8,3.2,2
6,2,0.8807,1.6524,0.22476,0.6,0.9,1.3,1.7,2,2.4,2.8,2
7,2,0.8807,1.3981,0.25281,0.4,0.7,1.1,1.4,1.8,2.1,2.5,2
8,2,0.8807,1.1762,0.28607,0.2,0.5,0.8,1.2,1.5,1.9,2.2,2
9,2,0.8807,0.9921,0.32161,0.1,0.4,0.7,1,1.3,1.7,2,2
10,2,0.8807,0.8471,0.35933,0,0.3,0.5,0.8,1.2,1.5,1.8,2
11,2,0.8807,0.7384,0.40034,0,0.2,0.5,0.7,1,1.4,1.7,2
12,2,0.8807,0.6552,0.44193,0,0.1,0.4,0.7,1,1.3,1.6,2
3,3,0.7558,6.0419,0.13725,3.7,4.4,5.2,6,6.9,7.8,8.6,1
4,3,0.4737,4.5132,0.13624,2.9,3.4,3.9,4.5,5.2,5.8,6.6,1
