age,interval,hl,hm,hs,minus3sd,minus2sd,minus1sd,median,plus1sd,plus2sd,plus3sd,sex
2,2,0.9497,8.482,0.134,5.1,6.2,7.3,8.5,9.6,10.8,11.9,1
3,2,0.9497,6.9984,0.14062,4.1,5,6,7,8,9,10,1
4,2,0.9497,5.5716,0.17179,2.7,3.7,4.6,5.6,6.5,7.5,8.5,1
5,2,0.9497,4.4941,0.20929,1.7,2.6,3.6,4.5,5.4,6.4,7.4,1
6,2,0.9497,3.7228,0.24323,1.1,1.9,2.8,3.7,4.6,5.6,6.5,1
7,2,0.9497,3.2403,0.26837,0.7,1.5,2.4,3.2,4.1,5,5.9,1
8,2,0.9497,2.9661,0.28481,0.5,1.3,2.1,3,3.8,4.7,5.5,1
9,2,0.9497,2.8089,0.29636,0.4,1.2,2,2.8,3.6,4.5,5.4,1
10,2,0.9497,2.6901,0.30505,0.3,1.1,1.9,2.7,3.5,4.4,5.2,1
11,2,0.9497,2.5785,0.31391,0.2,1,1.8,2.6,3.4,4.2,5.1,1
12,2,0.9497,2.4724,0.324,0.2,0.9,1.7,2.5,3.3,4.1,4.9,1
13,2,0.9497,2.3818,0.33613,0.1,0.8,1.6,2.4,3.2,4,4.8,1
14,2,0.9497,2.2978,0.34908,0,0.7,1.5,2.3,3.1,3.9,4.8,1
15,2,0.9497,2.2138,0.36174,0,0.7,1.4,2.2,3,3.8,4.7,1
16,2,0.9497,2.1357,0.3741,0,0.6,1.3,2.1,2.9,3.8,4.6,1
17,2,0.9497,2.0675,0.38645,0,0.5,1.3,2.1,2.9,3.7,4.5,1
18,2,0.9497,2.0061,0.39924,0,0.4,1.2,2,2.8,3.6,4.5,1
19,2,0.9497,1.9495,0.41274,0,0.4,1.2,1.9,2.8,3.6,4.4,1
20,2,0.9497,1.8972,0.42656,0,0.3,1.1,1.9,2.7,3.5,4.4,1
21,2,0.9497,1.849,0.44029,0,0.3,1,1.8,2.7,3.5,4.4,1
22,2,0.9497,1.803,0.45398,0,0.2,1,1.8,2.6,3.5,4.3,1
23,2,0.9497,1.7575,0.46768,0,0.2,0.9,1.8,2.6,3.4,4.3,1
24,2,0.9497,1.7133,0.48129,0,0.1,0.9,1.7,2.5,3.4,4.3,1
2,2,0.9918,7.9023,0.14123,4.6,5.7,6.8,7.9,9,10.1,11.3,2
3,2,0.9918,6.3775,0.15004,3.5,4.5,5.4,6.4,7.3,8.3,9.3,2
4,2,0.9918,5.1574,0.17732,2.4,3.3,4.2,5.2,6.1,7,7.9,2
5,2,0.9918,4.2877,0.21092,1.6,2.5,3.4,4.3,5.2,6.1,7,2
6,2,0.9918,3.5965,0.23941,1,1.9,2.7,3.6,4.5,5.3,6.2,2
7,2,0.9918,3.1827,0.25995,0.7,1.5,2.4,3.2,4,4.8,5.7,2
8,2,0.9918,3,0.27597,0.5,1.3,2.2,3,3.8,4.7,5.5,2
9,2,0.9918,2.8764,0.28638,0.4,1.2,2.1,2.9,3.7,4.5,5.4,2
10,2,0.9918,2.7444,0.29192,0.4,1.1,1.9,2.7,3.5,4.3,5.2,2
11,2,0.9918,2.6284,0.29751,0.3,1.1,1.8,2.6,3.4,4.2,5,2
12,2,0.9918,2.5303,0.30553,0.2,1,1.8,2.5,3.3,4.1,4.9,2
13,2,0.9918,2.4425,0.31612,0.1,0.9,1.7,2.4,3.2,4,4.8,2
14,2,0.9918,2.3621,0.32828,0.1,0.8,1.6,2.4,3.1,3.9,4.7,2
15,2,0.9918,2.2879,0.34112,0.1,0.7,1.5,2.3,3.1,3.9,4.6,2
16,2,0.9918,2.2236,0.35425,0.1,0.7,1.4,2.2,3,3.8,4.6,2
17,2,0.9918,2.1684,0.36737,0.1,0.6,1.4,2.2,3,3.8,4.6,2
18,2,0.9918,2.1113,0.38003,0.1,0.5,1.3,2.1,2.9,3.7,4.5,2
19,2,0.9918,2.047,0.39199,0.1,0.4,1.2,2,2.9,3.7,4.5,2
20,2,0.9918,1.9822,0.40358,0.1,0.4,1.2,2,2.8,3.6,4.4,2
21,2,0.9918,1.9225,0.41519,0.1,0.3,1.1,1.9,2.7,3.5,4.3,2
22,2,0.9918,1.8682,0.42686,0,0.3,1.1,1.9,2.7,3.5,4.3,2
23,2,0.9918,1.8192,0.43859,0,0.2,1,1.8,2.6,3.4,4.2,2
24,2,0.9918,1.775,0.45033,0,0.2,1,1.8,2.6,3.4,4.2,2
